#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
203	在狩猎场中使用长枪成功狩猎一次	20	4539	1			2
204	在狩猎场中使用片手成功狩猎一次	20	4540	1			2
205	在狩猎场中使用弩成功狩猎一次	20	4541	1			2
206	在狩猎场中使用双刀成功狩猎一次	20	4542	1			2
207	在狩猎场中使用太刀成功狩猎一次	20	4543	1			2
208	在狩猎场中使用狩猎笛成功狩猎一次	20	4544	1			2
209	在狩猎场中使用铳枪成功狩猎一次	20	4545	1			2
210	在狩猎场中使用弓成功狩猎一次	20	4546	1			2
211	在狩猎场中使用斩击斧成功狩猎一次	20	4547	1			2
212	在狩猎场中成功破坏任意部位1次	20	4548	1			2
213	在狩猎场中成功破坏任意部位5次	20	4548	5			6
214	在狩猎场中成功破坏任意部位10次	20	4548	10			18
215	在狩猎场中累计遭遇大金冠1次	20	4549	1			8
216	在狩猎场中累计遭遇大银冠1次	20	4550	1			8
217	在狩猎场中累计遭遇小银冠1次	20	4551	1			8
218	在狩猎场中累计遭遇小金冠1次	20	4552	1			8
219	在狩猎场中累计讨伐5只指定怪物	20	4553	5			10
220	在狩猎场中累计捕获5只指定怪物	20	4554	5			10
221	在狩猎场中使用大剑成功狩猎一次	39	4555	1			2
222	在狩猎场中使用大锤成功狩猎一次	39	4556	1			2
223	在狩猎场中使用长枪成功狩猎一次	39	4557	1			2
224	在狩猎场中使用片手成功狩猎一次	39	4558	1			2
225	在狩猎场中使用弩成功狩猎一次	39	4559	1			2
226	在狩猎场中使用双刀成功狩猎一次	39	4560	1			2
227	在狩猎场中使用太刀成功狩猎一次	39	4561	1			2
228	在狩猎场中使用狩猎笛成功狩猎一次	39	4562	1			2
229	在狩猎场中使用铳枪成功狩猎一次	39	4563	1			2
230	在狩猎场中使用弓成功狩猎一次	39	4564	1			2
231	在狩猎场中使用斩击斧成功狩猎一次	39	4565	1			2
232	在狩猎场中成功破坏任意部位1次	39	4566	1			2
233	在狩猎场中成功破坏任意部位5次	39	4566	5			6
234	在狩猎场中成功破坏任意部位10次	39	4566	10			18
235	在狩猎场中累计遭遇大金冠1次	39	4567	1			8
236	在狩猎场中累计遭遇大银冠1次	39	4568	1			8
237	在狩猎场中累计遭遇小银冠1次	39	4569	1			8
238	在狩猎场中累计遭遇小金冠1次	39	4570	1			8
239	在狩猎场中累计讨伐5只指定怪物	39	4571	5			10
240	在狩猎场中累计捕获5只指定怪物	39	4572	5			10
241	在狩猎场中使用大剑成功狩猎一次	22	4573	1			2
242	在狩猎场中使用大锤成功狩猎一次	22	4574	1			2
243	在狩猎场中使用长枪成功狩猎一次	22	4575	1			2
244	在狩猎场中使用片手成功狩猎一次	22	4576	1			2
245	在狩猎场中使用弩成功狩猎一次	22	4577	1			2
246	在狩猎场中使用双刀成功狩猎一次	22	4578	1			2
247	在狩猎场中使用太刀成功狩猎一次	22	4579	1			2
248	在狩猎场中使用狩猎笛成功狩猎一次	22	4580	1			2
249	在狩猎场中使用铳枪成功狩猎一次	22	4581	1			2
250	在狩猎场中使用弓成功狩猎一次	22	4582	1			2
251	在狩猎场中使用斩击斧成功狩猎一次	22	4583	1			2
252	在狩猎场中成功破坏任意部位1次	22	4584	1			2
253	在狩猎场中成功破坏任意部位5次	22	4584	5			6
254	在狩猎场中成功破坏任意部位10次	22	4584	10			18
255	在狩猎场中累计遭遇大金冠1次	22	4585	1			8
256	在狩猎场中累计遭遇大银冠1次	22	4586	1			8
257	在狩猎场中累计遭遇小银冠1次	22	4587	1			8
258	在狩猎场中累计遭遇小金冠1次	22	4588	1			8
259	在狩猎场中累计讨伐5只指定怪物	22	4589	5			10
260	在狩猎场中累计捕获5只指定怪物	22	4590	5			10
261	在狩猎场中使用大剑成功狩猎一次	29	4591	1			2
262	在狩猎场中使用大锤成功狩猎一次	29	4592	1			2
263	在狩猎场中使用长枪成功狩猎一次	29	4593	1			2
264	在狩猎场中使用片手成功狩猎一次	29	4594	1			2
265	在狩猎场中使用弩成功狩猎一次	29	4595	1			2
266	在狩猎场中使用双刀成功狩猎一次	29	4596	1			2
267	在狩猎场中使用太刀成功狩猎一次	29	4597	1			2
268	在狩猎场中使用狩猎笛成功狩猎一次	29	4598	1			2
269	在狩猎场中使用铳枪成功狩猎一次	29	4599	1			2
270	在狩猎场中使用弓成功狩猎一次	29	4600	1			2
271	在狩猎场中使用斩击斧成功狩猎一次	29	4601	1			2
272	在狩猎场中成功破坏任意部位1次	29	4602	1			2
273	在狩猎场中成功破坏任意部位5次	29	4602	5			6
274	在狩猎场中成功破坏任意部位10次	29	4602	10			18
275	在狩猎场中累计遭遇大金冠1次	29	4603	1			8
276	在狩猎场中累计遭遇大银冠1次	29	4604	1			8
277	在狩猎场中累计遭遇小银冠1次	29	4605	1			8
278	在狩猎场中累计遭遇小金冠1次	29	4606	1			8
279	在狩猎场中累计讨伐5只指定怪物	29	4607	5			10
280	在狩猎场中累计捕获5只指定怪物	29	4608	5			10
281	在狩猎场中使用大剑成功狩猎一次	31	4609	1			2
282	在狩猎场中使用大锤成功狩猎一次	31	4610	1			2
283	在狩猎场中使用长枪成功狩猎一次	31	4611	1			2
284	在狩猎场中使用片手成功狩猎一次	31	4612	1			2
285	在狩猎场中使用弩成功狩猎一次	31	4613	1			2
286	在狩猎场中使用双刀成功狩猎一次	31	4614	1			2
287	在狩猎场中使用太刀成功狩猎一次	31	4615	1			2
288	在狩猎场中使用狩猎笛成功狩猎一次	31	4616	1			2
289	在狩猎场中使用铳枪成功狩猎一次	31	4617	1			2
290	在狩猎场中使用弓成功狩猎一次	31	4618	1			2
291	在狩猎场中使用斩击斧成功狩猎一次	31	4619	1			2
292	在狩猎场中成功破坏任意部位1次	31	4620	1			2
293	在狩猎场中成功破坏任意部位5次	31	4620	5			6
294	在狩猎场中成功破坏任意部位10次	31	4620	10			18
295	在狩猎场中累计遭遇大金冠1次	31	4621	1			8
296	在狩猎场中累计遭遇大银冠1次	31	4622	1			8
297	在狩猎场中累计遭遇小银冠1次	31	4623	1			8
298	在狩猎场中累计遭遇小金冠1次	31	4624	1			8
299	在狩猎场中累计讨伐5只指定怪物	31	4625	5			10
300	在狩猎场中累计捕获5只指定怪物	31	4626	5			10
301	在狩猎场中使用大剑成功狩猎一次	3	4627	1			2
302	在狩猎场中使用大锤成功狩猎一次	3	4628	1			2
303	在狩猎场中使用长枪成功狩猎一次	3	4629	1			2
304	在狩猎场中使用片手成功狩猎一次	3	4630	1			2
305	在狩猎场中使用弩成功狩猎一次	3	4631	1			2
306	在狩猎场中使用双刀成功狩猎一次	3	4632	1			2
307	在狩猎场中使用太刀成功狩猎一次	3	4633	1			2
308	在狩猎场中使用狩猎笛成功狩猎一次	3	4634	1			2
309	在狩猎场中使用铳枪成功狩猎一次	3	4635	1			2
310	在狩猎场中使用弓成功狩猎一次	3	4636	1			2
311	在狩猎场中使用斩击斧成功狩猎一次	3	4637	1			2
312	在狩猎场中成功破坏任意部位1次	3	4638	1			2
313	在狩猎场中成功破坏任意部位5次	3	4638	5			6
314	在狩猎场中成功破坏任意部位10次	3	4638	10			18
315	在狩猎场中累计遭遇大金冠1次	3	4639	1			8
316	在狩猎场中累计遭遇大银冠1次	3	4640	1			8
317	在狩猎场中累计遭遇小银冠1次	3	4641	1			8
318	在狩猎场中累计遭遇小金冠1次	3	4642	1			8
319	在狩猎场中累计讨伐5只指定怪物	3	4643	5			10
320	在狩猎场中累计捕获5只指定怪物	3	4644	5			10
321	在狩猎场中使用大剑成功狩猎一次	7	4645	1			2
322	在狩猎场中使用大锤成功狩猎一次	7	4646	1			2
323	在狩猎场中使用长枪成功狩猎一次	7	4647	1			2
324	在狩猎场中使用片手成功狩猎一次	7	4648	1			2
325	在狩猎场中使用弩成功狩猎一次	7	4649	1			2
326	在狩猎场中使用双刀成功狩猎一次	7	4650	1			2
327	在狩猎场中使用太刀成功狩猎一次	7	4651	1			2
328	在狩猎场中使用狩猎笛成功狩猎一次	7	4652	1			2
329	在狩猎场中使用铳枪成功狩猎一次	7	4653	1			2
330	在狩猎场中使用弓成功狩猎一次	7	4654	1			2
331	在狩猎场中使用斩击斧成功狩猎一次	7	4655	1			2
332	在狩猎场中成功破坏任意部位1次	7	4656	1			2
333	在狩猎场中成功破坏任意部位5次	7	4656	5			6
334	在狩猎场中成功破坏任意部位10次	7	4656	10			18
335	在狩猎场中累计遭遇大金冠1次	7	4657	1			8
336	在狩猎场中累计遭遇大银冠1次	7	4658	1			8
337	在狩猎场中累计遭遇小银冠1次	7	4659	1			8
338	在狩猎场中累计遭遇小金冠1次	7	4660	1			8
339	在狩猎场中累计讨伐5只指定怪物	7	4661	5			10
340	在狩猎场中累计捕获5只指定怪物	7	4662	5			10
341	在狩猎场中使用大剑成功狩猎一次	28	4663	1			2
342	在狩猎场中使用大锤成功狩猎一次	28	4664	1			2
343	在狩猎场中使用长枪成功狩猎一次	28	4665	1			2
344	在狩猎场中使用片手成功狩猎一次	28	4666	1			2
345	在狩猎场中使用弩成功狩猎一次	28	4667	1			2
346	在狩猎场中使用双刀成功狩猎一次	28	4668	1			2
347	在狩猎场中使用太刀成功狩猎一次	28	4669	1			2
348	在狩猎场中使用狩猎笛成功狩猎一次	28	4670	1			2
349	在狩猎场中使用铳枪成功狩猎一次	28	4671	1			2
350	在狩猎场中使用弓成功狩猎一次	28	4672	1			2
351	在狩猎场中使用斩击斧成功狩猎一次	28	4673	1			2
352	在狩猎场中成功破坏任意部位1次	28	4674	1			2
353	在狩猎场中成功破坏任意部位5次	28	4674	5			6
354	在狩猎场中成功破坏任意部位10次	28	4674	10			18
355	在狩猎场中累计遭遇大金冠1次	28	4675	1			8
356	在狩猎场中累计遭遇大银冠1次	28	4676	1			8
357	在狩猎场中累计遭遇小银冠1次	28	4677	1			8
358	在狩猎场中累计遭遇小金冠1次	28	4678	1			8
359	在狩猎场中累计讨伐5只指定怪物	28	4679	5			10
360	在狩猎场中累计捕获5只指定怪物	28	4680	5			10
361	在狩猎场中使用大剑成功狩猎一次	17	4681	1			2
362	在狩猎场中使用大锤成功狩猎一次	17	4682	1			2
363	在狩猎场中使用长枪成功狩猎一次	17	4683	1			2
364	在狩猎场中使用片手成功狩猎一次	17	4684	1			2
365	在狩猎场中使用弩成功狩猎一次	17	4685	1			2
366	在狩猎场中使用双刀成功狩猎一次	17	4686	1			2
367	在狩猎场中使用太刀成功狩猎一次	17	4687	1			2
368	在狩猎场中使用狩猎笛成功狩猎一次	17	4688	1			2
369	在狩猎场中使用铳枪成功狩猎一次	17	4689	1			2
370	在狩猎场中使用弓成功狩猎一次	17	4690	1			2
371	在狩猎场中使用斩击斧成功狩猎一次	17	4691	1			2
372	在狩猎场中成功破坏任意部位1次	17	4692	1			2
373	在狩猎场中成功破坏任意部位5次	17	4692	5			6
374	在狩猎场中成功破坏任意部位10次	17	4692	10			18
375	在狩猎场中累计遭遇大金冠1次	17	4693	1			8
376	在狩猎场中累计遭遇大银冠1次	17	4694	1			8
377	在狩猎场中累计遭遇小银冠1次	17	4695	1			8
378	在狩猎场中累计遭遇小金冠1次	17	4696	1			8
379	在狩猎场中累计讨伐5只指定怪物	17	4697	5			10
380	在狩猎场中累计捕获5只指定怪物	17	4698	5			10
381	在狩猎场中使用大剑成功狩猎一次	19	4699	1			2
382	在狩猎场中使用大锤成功狩猎一次	19	4700	1			2
383	在狩猎场中使用长枪成功狩猎一次	19	4701	1			2
384	在狩猎场中使用片手成功狩猎一次	19	4702	1			2
385	在狩猎场中使用弩成功狩猎一次	19	4703	1			2
386	在狩猎场中使用双刀成功狩猎一次	19	4704	1			2
387	在狩猎场中使用太刀成功狩猎一次	19	4705	1			2
388	在狩猎场中使用狩猎笛成功狩猎一次	19	4706	1			2
389	在狩猎场中使用铳枪成功狩猎一次	19	4707	1			2
390	在狩猎场中使用弓成功狩猎一次	19	4708	1			2
391	在狩猎场中使用斩击斧成功狩猎一次	19	4709	1			2
392	在狩猎场中成功破坏任意部位1次	19	4710	1			2
393	在狩猎场中成功破坏任意部位5次	19	4710	5			6
394	在狩猎场中成功破坏任意部位10次	19	4710	10			18
395	在狩猎场中累计遭遇大金冠1次	19	4711	1			8
396	在狩猎场中累计遭遇大银冠1次	19	4712	1			8
397	在狩猎场中累计遭遇小银冠1次	19	4713	1			8
398	在狩猎场中累计遭遇小金冠1次	19	4714	1			8
399	在狩猎场中累计讨伐5只指定怪物	19	4715	5			10
400	在狩猎场中累计捕获5只指定怪物	19	4716	5			10
401	在狩猎场中使用大剑成功狩猎一次	42	4717	1			2
402	在狩猎场中使用大锤成功狩猎一次	42	4718	1			2
403	在狩猎场中使用长枪成功狩猎一次	42	4719	1			2
404	在狩猎场中使用片手成功狩猎一次	42	4720	1			2
405	在狩猎场中使用弩成功狩猎一次	42	4721	1			2
406	在狩猎场中使用双刀成功狩猎一次	42	4722	1			2
407	在狩猎场中使用太刀成功狩猎一次	42	4723	1			2
408	在狩猎场中使用狩猎笛成功狩猎一次	42	4724	1			2
409	在狩猎场中使用铳枪成功狩猎一次	42	4725	1			2
410	在狩猎场中使用弓成功狩猎一次	42	4726	1			2
411	在狩猎场中使用斩击斧成功狩猎一次	42	4727	1			2
412	在狩猎场中成功破坏任意部位1次	42	4728	1			2
413	在狩猎场中成功破坏任意部位5次	42	4728	5			6
414	在狩猎场中成功破坏任意部位10次	42	4728	10			18
415	在狩猎场中累计遭遇大金冠1次	42	4729	1			8
416	在狩猎场中累计遭遇大银冠1次	42	4730	1			8
417	在狩猎场中累计遭遇小银冠1次	42	4731	1			8
418	在狩猎场中累计遭遇小金冠1次	42	4732	1			8
419	在狩猎场中累计讨伐5只指定怪物	42	4733	5			10
420	在狩猎场中累计捕获5只指定怪物	42	4734	5			10
421	在狩猎场中使用大剑成功狩猎一次	21	4735	1			2
422	在狩猎场中使用大锤成功狩猎一次	21	4736	1			2
423	在狩猎场中使用长枪成功狩猎一次	21	4737	1			2
424	在狩猎场中使用片手成功狩猎一次	21	4738	1			2
425	在狩猎场中使用弩成功狩猎一次	21	4739	1			2
426	在狩猎场中使用双刀成功狩猎一次	21	4740	1			2
427	在狩猎场中使用太刀成功狩猎一次	21	4741	1			2
428	在狩猎场中使用狩猎笛成功狩猎一次	21	4742	1			2
429	在狩猎场中使用铳枪成功狩猎一次	21	4743	1			2
430	在狩猎场中使用弓成功狩猎一次	21	4744	1			2
431	在狩猎场中使用斩击斧成功狩猎一次	21	4745	1			2
432	在狩猎场中成功破坏任意部位1次	21	4746	1			2
433	在狩猎场中成功破坏任意部位5次	21	4746	5			6
434	在狩猎场中成功破坏任意部位10次	21	4746	10			18
435	在狩猎场中累计遭遇大金冠1次	21	4747	1			8
436	在狩猎场中累计遭遇大银冠1次	21	4748	1			8
437	在狩猎场中累计遭遇小银冠1次	21	4749	1			8
438	在狩猎场中累计遭遇小金冠1次	21	4750	1			8
439	在狩猎场中累计讨伐5只指定怪物	21	4751	5			10
440	在狩猎场中累计捕获5只指定怪物	21	4752	5			10
441	在狩猎场中使用大剑成功狩猎一次	23	4753	1			2
442	在狩猎场中使用大锤成功狩猎一次	23	4754	1			2
443	在狩猎场中使用长枪成功狩猎一次	23	4755	1			2
444	在狩猎场中使用片手成功狩猎一次	23	4756	1			2
445	在狩猎场中使用弩成功狩猎一次	23	4757	1			2
446	在狩猎场中使用双刀成功狩猎一次	23	4758	1			2
447	在狩猎场中使用太刀成功狩猎一次	23	4759	1			2
448	在狩猎场中使用狩猎笛成功狩猎一次	23	4760	1			2
449	在狩猎场中使用铳枪成功狩猎一次	23	4761	1			2
450	在狩猎场中使用弓成功狩猎一次	23	4762	1			2
451	在狩猎场中使用斩击斧成功狩猎一次	23	4763	1			2
452	在狩猎场中成功破坏任意部位1次	23	4764	1			2
453	在狩猎场中成功破坏任意部位5次	23	4764	5			6
454	在狩猎场中成功破坏任意部位10次	23	4764	10			18
455	在狩猎场中累计遭遇大金冠1次	23	4765	1			8
456	在狩猎场中累计遭遇大银冠1次	23	4766	1			8
457	在狩猎场中累计遭遇小银冠1次	23	4767	1			8
458	在狩猎场中累计遭遇小金冠1次	23	4768	1			8
459	在狩猎场中累计讨伐5只指定怪物	23	4769	5			10
460	在狩猎场中累计捕获5只指定怪物	23	4770	5			10
461	在狩猎场中使用大剑成功狩猎一次	25	4771	1			2
462	在狩猎场中使用大锤成功狩猎一次	25	4772	1			2
463	在狩猎场中使用长枪成功狩猎一次	25	4773	1			2
464	在狩猎场中使用片手成功狩猎一次	25	4774	1			2
465	在狩猎场中使用弩成功狩猎一次	25	4775	1			2
466	在狩猎场中使用双刀成功狩猎一次	25	4776	1			2
467	在狩猎场中使用太刀成功狩猎一次	25	4777	1			2
468	在狩猎场中使用狩猎笛成功狩猎一次	25	4778	1			2
469	在狩猎场中使用铳枪成功狩猎一次	25	4779	1			2
470	在狩猎场中使用弓成功狩猎一次	25	4780	1			2
471	在狩猎场中使用斩击斧成功狩猎一次	25	4781	1			2
472	在狩猎场中成功破坏任意部位1次	25	4782	1			2
473	在狩猎场中成功破坏任意部位5次	25	4782	5			6
474	在狩猎场中成功破坏任意部位10次	25	4782	10			18
475	在狩猎场中累计遭遇大金冠1次	25	4783	1			8
476	在狩猎场中累计遭遇大银冠1次	25	4784	1			8
477	在狩猎场中累计遭遇小银冠1次	25	4785	1			8
478	在狩猎场中累计遭遇小金冠1次	25	4786	1			8
479	在狩猎场中累计讨伐5只指定怪物	25	4787	5			10
480	在狩猎场中累计捕获5只指定怪物	25	4788	5			10
481	在狩猎场中使用大剑成功狩猎一次	32	4789	1			2
482	在狩猎场中使用大锤成功狩猎一次	32	4790	1			2
483	在狩猎场中使用长枪成功狩猎一次	32	4791	1			2
484	在狩猎场中使用片手成功狩猎一次	32	4792	1			2
485	在狩猎场中使用弩成功狩猎一次	32	4793	1			2
486	在狩猎场中使用双刀成功狩猎一次	32	4794	1			2
487	在狩猎场中使用太刀成功狩猎一次	32	4795	1			2
488	在狩猎场中使用狩猎笛成功狩猎一次	32	4796	1			2
489	在狩猎场中使用铳枪成功狩猎一次	32	4797	1			2
490	在狩猎场中使用弓成功狩猎一次	32	4798	1			2
491	在狩猎场中使用斩击斧成功狩猎一次	32	4799	1			2
492	在狩猎场中成功破坏任意部位1次	32	4800	1			2
493	在狩猎场中成功破坏任意部位5次	32	4800	5			6
494	在狩猎场中成功破坏任意部位10次	32	4800	10			18
495	在狩猎场中累计遭遇大金冠1次	32	4801	1			8
496	在狩猎场中累计遭遇大银冠1次	32	4802	1			8
497	在狩猎场中累计遭遇小银冠1次	32	4803	1			8
498	在狩猎场中累计遭遇小金冠1次	32	4804	1			8
499	在狩猎场中累计讨伐5只指定怪物	32	4805	5			10
500	在狩猎场中累计捕获5只指定怪物	32	4806	5			10
501	在狩猎场中使用大剑成功狩猎一次	51	4807	1			2
502	在狩猎场中使用大锤成功狩猎一次	51	4808	1			2
503	在狩猎场中使用长枪成功狩猎一次	51	4809	1			2
504	在狩猎场中使用片手成功狩猎一次	51	4810	1			2
505	在狩猎场中使用弩成功狩猎一次	51	4811	1			2
506	在狩猎场中使用双刀成功狩猎一次	51	4812	1			2
507	在狩猎场中使用太刀成功狩猎一次	51	4813	1			2
508	在狩猎场中使用狩猎笛成功狩猎一次	51	4814	1			2
509	在狩猎场中使用铳枪成功狩猎一次	51	4815	1			2
510	在狩猎场中使用弓成功狩猎一次	51	4816	1			2
511	在狩猎场中使用斩击斧成功狩猎一次	51	4817	1			2
512	在狩猎场中成功破坏任意部位1次	51	4818	1			2
513	在狩猎场中成功破坏任意部位5次	51	4818	5			6
514	在狩猎场中成功破坏任意部位10次	51	4818	10			18
515	在狩猎场中累计遭遇大金冠1次	51	4819	1			8
516	在狩猎场中累计遭遇大银冠1次	51	4820	1			8
517	在狩猎场中累计遭遇小银冠1次	51	4821	1			8
518	在狩猎场中累计遭遇小金冠1次	51	4822	1			8
